
[04.09.2026 22:58:29,37] PS5 Controller Disconnected 
[04.09.2026 22:59:13,44] PS5 Controller Connected 
[04.09.2026 22:59:14,35] PS5 Controller Connected 
[04.09.2026 22:59:59,56] PS5 Controller Disconnected 
[04.09.2026 23:05:09,04] PS5 Controller Connected 
[04.09.2026 23:10:10,40] PS5 Controller Disconnected 
[04.09.2026 23:17:09,62] PS5 Controller Disconnected 
[04.09.2026 23:18:00,54] PS5 Controller Connected 
[04.09.2026 23:20:33,27] PS5 Controller Connected 
[04.09.2026 23:21:39,27] PS5 Controller Connected 
[04.09.2026 23:23:02,46] PS5 Controller Disconnected 
[04.09.2026 23:23:36,24] PS5 Controller Disconnected 
[04.09.2026 23:25:42,61] PS5 Controller Disconnected 
[04.09.2026 23:31:23,92] PS5 Controller Disconnected 
[04.09.2026 23:33:16,40] PS5 Controller Disconnected 
[04.09.2026 23:33:37,07] PS5 Controller Disconnected 
[04.09.2026 23:35:50,74] PS5 Controller Disconnected 
[04.09.2026 23:36:02,62] PS5 Controller Connected 
[04.09.2026 23:37:05,70] PS5 Controller Disconnected 
[04.09.2026 23:43:36,25] PS5 Controller Disconnected 
[04.09.2026 23:44:08,17] PS5 Controller Connected 
[04.09.2026 23:44:23,32] PS5 Controller Disconnected 
